date,nav
20221202,131070799.23225366
20221205,131130279.79678035
20221206,131135727.89766444
20221207,131138741.70446607
20221208,131119948.0324678
20221209,131115320.42329262
20221212,131143951.27689049
20221213,131170526.10087657
20221214,131112579.38297336
20221215,131086611.97620223
20221216,131114410.70091754
20221219,131043517.56769304
20221220,131003349.92166187
20221221,131009538.66043071
20221222,131008219.08045231
20221223,131007723.60029902
20221226,130993807.89504519
20221227,131000853.09785819
20221228,131001336.24077705
20221229,131010275.80965102
20221230,131029425.63584396
20230103,131038050.62304807
20230104,131050087.15528446
20230105,131038883.57653174
20230106,131021447.40662783
20230109,131056141.60091068
20230110,131070634.7411662
20230111,131050153.26407748
20230112,131064296.08497941
20230113,131144573.08700089
20230116,131171327.26963338
20230117,131156141.48248893
20230118,131160596.1072982
20230119,131180254.50821461
20230120,131225551.64695391
20230130,131263394.04420914
20230131,131277090.35330842
20230201,131377527.02367117
20230202,131396882.89614755
20230203,131353639.97036366
20230206,131286681.9634314
20230207,131318682.13602698
20230208,131278501.53014132
20230209,131324214.97633013
20230210,131352739.63208242
20230213,131400731.91533297
20230214,131421531.12258054
20230215,131402688.04486811
20230216,131382259.59086967
20230217,131360585.0568473
20230220,131442472.5759283
20230221,131475931.28152303
20230222,131508851.07314456
20230223,131479388.02436338
20230224,131449743.77725272
20230227,131466237.88638295
20230228,131496524.88663171
20230301,131559145.78450821
20230302,131594720.87939364
20230303,131639784.63614321
20230306,131604023.76223058
20230307,131535071.76599453
20230308,131539227.32879607
20230309,131524492.27635945
20230310,131447005.41994853
20230313,131538295.87529898
20230314,131534927.3084689
20230315,131592282.02484973
20230316,131567326.09953141
20230317,131656066.33773378
20230320,131643371.15308508
20230321,131629235.85941704
20230322,131681325.91472013
20230323,131751613.03634492
20230324,131779929.38812469
20230327,131810128.60008825
20230328,131750360.79458489
20230329,131747343.86894439
20230330,131686696.423712
20230331,131819107.95452054
20230403,131955965.33431633
20230404,131959892.9309948
20230406,131984569.40269879
20230407,132033125.0451618
20230410,131934267.46307091
20230411,131981125.11599706
20230412,132022455.52099995
20230413,132015788.62858711
20230414,132005749.65745647
20230417,132047682.23039646
20230418,132042810.53851123
20230419,132020680.59449127
20230420,132069062.40355524
20230421,131977071.62317237
20230424,132036515.98960826
20230425,132028952.75322042
20230426,132060906.27171321
20230427,132070264.8454797
20230428,132144461.23872718
20230504,132372125.5692398
20230505,132408860.91726232
20230508,132547990.24465147
20230509,132427831.55048974
20230510,132349166.06384735
20230511,132354888.75079171
20230512,132322435.51519124
20230515,132345620.68962207
20230516,132276862.91707198
20230517,132279306.63845906
20230518,132252348.19722943
20230519,132242948.00851738
20230522,132254923.8191493
20230523,132229865.04130025
20230524,132215162.98260248
20230525,132213236.99055918
20230526,132230572.17849629
20230529,132240450.54944812
20230530,132239651.06151669
20230531,132244232.44673386
20230601,132231845.82282136
20230602,132208160.72272374
20230605,132239734.46969758
20230606,132219167.14824559
20230607,132248197.88870408
20230608,132226905.2195173
20230609,132232671.70453502
20230612,132247535.60666533
20230613,132258370.92981243
20230614,132294822.84268032
20230615,132288783.92220926
20230616,132296273.17461143
20230619,132297526.01354322
