trade_date,nav_gross,nav_net,nav_hold
20130731,967928.0068529748,963678.7384869121,916822.0804811707
20130801,987401.4545872867,983066.696489705,935267.3437027205
20130802,1011183.1872185706,1006744.0257320541,957793.4173715161
20130805,1008138.6658913773,1003712.8700561012,954909.6446554626
20130806,999119.9895070498,992944.0612330561,953440.5528944541
20130807,999119.9895070498,992944.0612330561,959697.7955802307
20130808,999119.9895070498,992944.0612330561,953059.6772527111
20130809,999119.9895070498,992944.0612330561,940381.9594632684
20130812,999119.9895070498,992944.0612330561,970199.0811311427
20130813,999119.9895070498,992944.0612330561,979122.4533091194
20130814,999119.9895070498,992944.0612330561,972266.691757747
20130815,999119.9895070498,992944.0612330561,965574.1626242643
20130816,999119.9895070498,992944.0612330561,948924.4559995023
20130819,999119.9895070498,992944.0612330561,953114.0880586744
20130820,999119.9895070498,992944.0612330561,944626.0023284038
20130821,999119.9895070498,992944.0612330561,950502.3693724374
20130822,999119.9895070498,992944.0612330561,952624.3908050051
20130823,999119.9895070498,992944.0612330561,941252.5323586807
20130826,999119.9895070498,992944.0612330561,946421.5589251918
20130827,999119.9895070498,992944.0612330561,942123.1052540932
20130828,999119.9895070498,992944.0612330561,924439.593316029
20130829,999119.9895070498,992944.0612330561,916713.2588692439
20130830,999119.9895070498,992944.0612330561,918345.5830481423
20130902,999119.9895070498,992944.0612330561,826608.9641940618
20130903,999119.9895070498,992944.0612330561,825194.2832390168
20130904,999119.9895070498,992944.0612330561,827588.3587014008
20130905,999119.9895070498,992944.0612330561,817631.1812101217
20130906,999119.9895070498,992944.0612330561,817685.5920160849
20130909,999119.9895070498,992944.0612330561,821331.1160156243
20130910,999119.9895070498,992944.0612330561,824976.6400151638
20130911,999119.9895070498,992944.0612330561,830145.6665816747
20130912,999119.9895070498,992944.0612330561,825575.1588807596
20130913,999119.9895070498,992944.0612330561,827153.0722536948
20130916,999119.9895070498,992944.0612330561,814257.7112403987
20130917,999119.9895070498,992944.0612330561,768824.6882610647
20130918,999119.9895070498,992944.0612330561,772089.3366188612
20130923,999119.9895070498,992944.0612330561,766158.5587688643
20130924,999119.9895070498,992944.0612330561,744339.8255775914
20130925,999119.9895070498,992944.0612330561,735416.4533996143
20130926,999119.9895070498,992944.0612330561,736831.1343546594
20130927,999119.9895070498,992944.0612330561,729431.2647436542
20130930,999119.9895070498,992944.0612330561,739660.4962647497
20131008,999119.9895070498,992944.0612330561,743632.4851000687
20131009,999119.9895070498,992944.0612330561,745373.6308908935
20131010,999119.9895070498,992944.0612330561,745645.6849207098
20131011,999119.9895070498,992944.0612330561,748257.403606947
20131014,999119.9895070498,992944.0612330561,759846.9052771245
20131015,999119.9895070498,992944.0612330561,784875.8760202306
20131016,999119.9895070498,992944.0612330561,784821.4652142674
20131017,999119.9895070498,992944.0612330561,784549.411184451
20131018,999119.9895070498,992944.0612330561,777965.7036628947
20131021,999119.9895070498,992944.0612330561,789446.3837211457
20131022,999119.9895070498,992944.0612330561,780359.7791252788
20131023,999119.9895070498,992944.0612330561,781828.8708862872
20131024,999119.9895070498,992944.0612330561,781937.6924982138
20131025,999119.9895070498,992944.0612330561,743958.9499358484
20131028,999119.9895070498,992944.0612330561,728941.5674899847
20131029,999119.9895070498,992944.0612330561,722575.5031922816
