date,nav_hold,nav_switch_A,nav_switch_B
20230912,14180873.741311485,10453595.943152,9154084.839032272
20230913,14180484.14830556,10453308.75013833,9153833.347657762
20230914,14170978.078960957,10446301.2406048,9147696.958119739
20230915,13885016.812611075,10235501.568571525,8963102.289230047
20230918,14252870.528806658,10506669.212078087,9200560.445041556
20230919,14235260.924938792,10493688.087860234,9189193.034913743
20230920,14212352.856190328,10476801.138656478,9174405.342092607
20230921,14012803.318554891,10329700.877055056,9045591.460069038
20230922,14407149.35915346,10620397.645491134,9300151.029347166
20230925,14277648.643983569,10524934.687747456,9216555.296460336
20230926,14150017.975242123,10430850.25646939,9134166.722171148
20230927,14134434.255005073,10419362.535922617,9124107.067190783
20230928,14014050.016173854,10330619.894698799,9046396.232467467
20231009,13846135.430619631,10206839.705807324,8938003.450054036
20231010,13791592.409789953,10166632.683893621,8902794.65762276
20231011,13857823.22079742,10215455.496217405,8945548.19128931
20231012,13916262.17168636,10258534.4482678,8983271.897465678
20231013,13643547.067537973,10057499.338699285,8807227.935309296
20231016,13479138.819037087,9936303.886930835,8701098.575266449
20231017,13448750.564574838,9913902.831864629,8681482.248054737
20231018,13464334.284811888,9925390.5524114,8691541.9030351
20231019,12700731.9931964,9362492.24561955,8198618.808997232
20231020,12817609.894974278,9345647.249571232,8183867.854036083
20231023,12809662.197653385,9345647.249571232,8183867.854036083
20231024,12801636.581731305,9345647.249571232,8183867.854036083
20231025,13070845.348826356,9345647.249571232,8183867.854036083
20231026,13029782.246001726,9345647.249571232,8183867.854036083
20231027,13064689.77933272,9345647.249571232,8183867.854036083
20231030,13098116.859241195,9345647.249571232,8183867.854036083
20231031,13126011.718465514,9345647.249571232,8183867.854036083
20231101,13877224.95249255,9345647.249571232,8183867.854036083
20231102,13865615.080915945,9345647.249571232,8183867.854036083
20231103,14112928.721077943,9345647.249571232,8183867.854036083
20231106,14118850.534768023,9345647.249571232,8137313.859312575
20231107,13956546.088499138,9345647.249571232,8043770.6762609845
20231108,14012413.725548964,9345647.249571232,8075969.649975815
20231109,13979454.157247601,9345647.249571232,8056973.602721458
20231110,13837096.872882143,9345647.249571232,7974926.84543137
20231113,13744841.249078803,9345647.249571232,7921755.876284427
20231114,13754736.91142933,9345647.249571232,7927459.181252047
20231115,13814422.559937235,9345647.249571232,7961858.642710289
20231116,13714063.401610628,9345647.249571232,7904017.250597736
20231117,13662403.369024804,9345647.249571232,7874243.304191972
20231120,13733153.458901014,9345647.249571232,7915019.6893147975
20231121,13947429.612160463,9345647.249571232,8038516.450424673
20231122,13881276.719754182,9345647.249571232,8000389.63217657
20231123,13916262.17168636,9345647.249571232,8020553.285172327
20231124,13846135.430619631,9345647.249571232,7980136.16335455
20231127,13737049.388960278,9345647.249571232,7917265.084971341
20231128,13784112.22407617,9345647.249571232,7944389.464502383
20231129,13828292.07094821,9345647.249571232,7969852.251247583
20231130,13959117.40233825,9345647.249571232,8045252.637394303
20231201,13715855.529437887,9345647.249571232,7905050.132599745
20231204,13641287.4281036,9345647.249571232,7862073.259733508
20231205,13316288.942559905,9345647.249571232,7674762.354064674
20231206,13269537.781848755,9345647.249571232,7647817.606186156
20231207,13246162.201493178,9345647.249571232,7634345.232246897
20231208,13284498.153276322,9345647.249571232,7656439.925507282
20231211,13230578.481256127,9345647.249571232,7625363.649620724
20231212,13324002.884077245,9345647.249571232,7679208.23746463
20231213,12934487.79675216,9345647.249571232,7454713.57972344
20231214,12746703.9678957,9345647.249571232,7346485.509078058
20231215,12817609.894974278,9345647.249571232,7387351.710027143
20231218,12950071.51698921,9345647.249571232,7463695.162349613
20231219,13051365.698530043,9345647.249571232,7522075.449419737
20231220,13003208.1351535,9345647.249571232,7494320.129896404
20231221,13162498.006234942,9345647.249571232,7586125.880825435
20231222,13167621.134201443,9345647.249571232,7571116.597944881
20231225,13178261.476901092,9345647.249571232,7571116.597944881
20231226,13162498.006234942,9345647.249571232,7571116.597944881
20231227,13139325.704355702,9345647.249571232,7571116.597944881
20231228,13595914.632200725,9345647.249571232,7571116.597944881
20231229,13603875.184887132,9345647.249571232,7571116.597944881
20240102,13280802.853584394,9345647.249571232,7571116.597944881
