entry_i,entry_date,entry_px_g,entry_px,first_cond_i,cash_before_g,cash_before_n,unclear,exit_i,exit_date,exit_px_g,exit_px,hold_days,ret_n,ret_g,lag,chase,exit_cls,late_cls,code,regime,near_turning_entry,near_turning_exit,top_drawback,missed,open_at_end
2242,20210524,2627.92856,2630.5564885599997,2239,1480974.6658821085,1426889.8118828963,26,2278,20210714,2350.362,2348.011638,36,-0.10839033109166374,-0.1056218057921634,-0.005084745762711895,0.1945777659423884,提前结束(暂时反走),发现太晚,000001.SZ,震荡段,False,False,-0.17488076311605716,0.051059730250481605,
2458,20220413,1778.44058,1780.2190205799998,2455,1324551.4473391944,1272228.7527415873,15,2477,20220513,1622.869,1621.2461309999999,19,-0.09030109419960974,-0.08747640025173065,-0.031097560975609673,0.2019667170953101,提前结束(暂时反走),发现太晚,000001.SZ,震荡段,True,True,-0.11615245009074415,0.031485284052019225,
2615,20221202,1497.121668,1498.6187896679999,2612,1208684.4547777418,1157345.1042968172,60,2696,20230404,1440.153568,1438.713414432,81,-0.041029437094178944,-0.03805175038051756,0.011547344110854452,0.2683397683397686,提前结束(暂时反走),发现太晚,000001.SZ,震荡段,True,True,-0.19631512071156287,0.06640316205533603,
2776,20230802,1407.55878,1408.96633878,2773,1162691.8956157272,1109859.886143815,45,2831,20231026,1203.31103,1202.1077189700002,55,-0.14775409177237842,-0.14510779436152565,-0.01631321370309935,0.17087378640776696,提前结束(暂时反走),发现太晚,000001.SZ,震荡段,True,True,-0.16919393455706289,0.026897214217098897,
2967,20240521,1321.1911599999999,1322.5123511599998,2964,993976.2391209077,945873.5466720402,15,2991,20240625,1249.245504,1247.9962584959999,24,-0.05738205527270224,-0.054455144855798054,0.013428827215756556,0.125248508946322,提前结束(暂时反走),发现太晚,000001.SZ,震荡段,True,False,-0.08006845838050791,0.039677551185784754,
3221,20250609,1498.907493,1500.4064004929999,3218,939849.1190363574,891597.3785359183,254,3514,20260821,1586.08128,1586.08128,293,0.05678408049946282,0.05815821683933664,-0.00929054054054057,0.07713498622589521,期末持仓,及时,000001.SZ,震荡段,False,True,-0.09714068782834862,,True
44,20120420,28.2,28.228199999999998,41,1000000.0,1000000.0,22,71,20120531,24.79,24.76521,27,-0.12364314979104996,-0.12092198581560298,-0.08023483365949124,0.2853236098450318,正确结束,发现太晚,002594.SZ,预热期,False,True,-0.1307420494699646,0.0024390243902439046,
216,20121231,19.48,19.49948,213,879078.0141843971,876356.85020895,28,266,20130321,23.95,23.92605,50,0.22566033751815628,0.22946611909650927,0.027968337730870818,0.32336956521739135,正确结束,发现太晚,002594.SZ,上升段,True,True,-0.1598140865212727,0.02765957446808498,
305,20130522,35.99,36.02599,302,1080796.6344823567,1074115.83281345,65,379,20130906,33.15,33.11685,74,-0.08176201708036568,-0.07891080855793287,-0.011263736263736224,0.8031062124248498,提前结束(暂时反走),发现太晚,002594.SZ,上升段,False,True,-0.07544303797468344,0.17634173055859792,
443,20131216,38.79,38.82879,440,995510.0981686614,986293.9557446655,57,517,20140408,49.03,48.98097,74,0.26007292763623213,0.2639855632895076,0.04050429184549342,0.1178674351585014,提前结束(暂时反走),发现太晚,002594.SZ,上升段,True,True,-0.1619160060718503,0.03904206077681627,
605,20140813,51.901849999999996,51.95375184999999,602,1258310.3921941083,1242802.3123251009,38,647,20141020,47.877829999999996,47.82995217,42,-0.0803868190365642,-0.07753134040501442,0.008782312925169844,0.16633370786516855,正确结束,发现太晚,002594.SZ,震荡段,True,False,-0.11217535457727013,0.009543568464730257,
777,20150505,61.06099999999999,61.12206099999999,774,1160751.9008417397,1142897.3877459995,29,817,20150713,55.95589999999999,55.89994409999999,40,-0.08644323032662249,-0.08360655737704914,-0.0031050825298251095,0.4424213762118705,提前结束(暂时反走),发现太晚,002594.SZ,上升段,False,True,-0.3210045662100457,0.14122394082044365,
837,20150810,66.01594999999999,66.08196594999998,834,1063705.430443496,1044101.6456173769,92,955,20160202,48.658609999999996,48.60995139,118,-0.2652080521229706,-0.26292645943896886,0.10933557611438172,0.6549560853199496,提前结束(暂时反走),发现太晚,002594.SZ,混合,True,True,-0.32567152211679806,0.12267142290923494,
992,20160331,58.88882999999999,58.947718829999985,989,784029.1277309832,767197.4819648042,100,1110,20160921,56.576519999999995,56.519943479999995,118,-0.042239609797644184,-0.03926568077511461,0.013436692506459957,0.20061224489795926,提前结束(暂时反走),发现太晚,002594.SZ,震荡段,True,True,-0.13358778625954193,0.028193832599118895,
1285,20170615,52.113600000000005,52.1657136,1282,753243.6902831069,734791.3596888757,147,1454,20180222,62.72376,62.66103624,169,0.1998710542335298,0.20359675785207698,0.023762376237623783,0.11015675327464036,提前结束(暂时反走),发现太晚,002594.SZ,震荡段,False,True,-0.15555555555555545,0.08311938382541717,
1618,20181025,48.107600000000005,48.1557076,1615,906601.6634972814,881654.8833915802,27,1666,20190103,50.048159999999996,49.99811183999999,48,0.0371175692454071,0.04033790918690583,-0.0531893621275743,0.1096789313334896,提前结束(暂时反走),发现太晚,002594.SZ,上升段,True,True,-0.18680203045685273,0.11610486891385774,
1701,20190228,56.00192,56.05792191999999,1698,943172.0790681326,914379.7695764186,49,1757,20190523,50.0888,50.0387112,56,-0.1083564389555175,-0.10558780841799709,0.0010897203051216664,0.1951431049436252,中性,发现太晚,002594.SZ,震荡段,False,True,-0.23733974358974352,0.09077537297751603,
