date,nav_hold,nav_switch_A,nav_switch_B
20160616,1474958.1210422693,1163813.1455106342,1544998.2215428583
20160617,1476679.1923620384,1163813.1455106342,1546801.01993439
20160620,1480121.335001577,1163813.1455106342,1550406.6167174538
20160621,1481842.4063213463,1163813.1455106342,1552209.4151089857
20160622,1502495.2621585776,1163813.1455106342,1573842.9958073688
20160623,1490447.7629201927,1163813.1455106342,1561223.4070666453
20160624,1474958.1210422693,1163813.1455106342,1544998.2215428583
20160627,1481842.4063213463,1163813.1455106342,1552209.4151089857
20160628,1485284.548960885,1163813.1455106342,1555815.0118920498
20160629,1495610.9768795006,1163813.1455106342,1566631.802241241
20160630,1497332.0481992697,1163813.1455106342,1568434.600632773
20160701,1499053.119519039,1163813.1455106342,1570237.3990243052
20160704,1516263.832716732,1163813.1455106342,1588265.3829396244
20160705,1516263.832716732,1163813.1455106342,1588265.3829396244
20160706,1512821.690077193,1163813.1455106342,1584659.7861565603
20160707,1511100.618757424,1163813.1455106342,1582856.9877650284
20160708,1504216.333478347,1163813.1455106342,1575645.794198901
20160711,1505937.404798116,1163813.1455106342,1577448.5925904326
20160712,1528311.3319551167,1163813.1455106342,1600884.9716803478
20160713,1547243.1164725788,1163813.1455106342,1620715.753987199
20160714,1538637.7598737322,1163813.1455106342,1611701.762029539
20160715,1547243.1164725788,1163813.1455106342,1620715.753987199
20160718,1555848.473071425,1163813.1455106342,1629729.7459448583
20160719,1543800.9738330403,1163813.1455106342,1617110.157204135
20160720,1542079.9025132712,1163813.1455106342,1615307.3588126034
20160721,1547243.1164725788,1163813.1455106342,1620715.753987199
20160722,1538637.7598737322,1163813.1455106342,1611701.762029539
20160725,1545522.0451528097,1163813.1455106342,1618912.955595667
20160726,1567895.9723098099,1163813.1455106342,1642349.3346855817
20160727,1550685.2591121173,1163813.1455106342,1624321.3507702628
20160728,1562732.7583505022,1163813.1455106342,1636940.9395109862
20160729,1583385.6141877335,1163813.1455106342,1658574.520209369
20160801,1597154.1847458875,1163813.1455106342,1672996.9073416244
20160802,1591990.97078658,1163813.1455106342,1667588.5121670288
20160803,1579943.471548195,1163813.1455106342,1654968.9234263054
20160804,1547243.1164725788,1163813.1455106342,1620715.753987199
20160805,1555848.473071425,1163813.1455106342,1629729.7459448583
20160808,1567895.9723098099,1163813.1455106342,1642349.3346855817
20160809,1574780.2575888874,1163813.1455106342,1649560.5282517096
20160810,1573059.186269118,1163813.1455106342,1647757.7298601777
20160811,1586827.7568272722,1163813.1455106342,1662180.1169924333
20160812,1635017.7537808118,1163813.1455106342,1712658.4719553269
20160815,1665997.0375366588,1163813.1455106342,1745108.8430029014
20160816,1638459.8964203503,1163813.1455106342,1716264.0687383907
20160817,1643623.1103796582,1165964.5202446787,1721672.4639129867
20160818,1635017.7537808118,1159859.993960675,1712658.4719553269
20160819,1636738.8251005812,1161080.899217476,1714461.2703468588
20160822,1617807.040583119,1147650.941392668,1694630.4880400077
20160823,1617807.040583119,1147650.941392668,1694630.4880400077
20160824,1622970.254542427,1151313.6571630703,1700038.8832146034
20160825,1624691.325862196,1152534.5624198709,1701841.6816061353
20160826,1626412.3971819654,1153755.4676766717,1703644.4799976673
20160829,1621249.1832226575,1150092.7519062695,1698236.0848230715
20160830,1629854.5398215041,1156197.278190273,1707250.0767807313
20160831,1633296.6824610427,1158639.0887038745,1710855.6735637952
20160901,1626412.3971819654,1153755.4676766717,1703644.4799976673
20160902,1626412.3971819654,1153755.4676766717,1703644.4799976673
20160905,1621249.1832226575,1150092.7519062695,1698236.0848230715
20160906,1619528.1119028884,1148871.8466494689,1696433.2864315398
20160907,1617807.040583119,1147650.941392668,1694630.4880400077
20160908,1617807.040583119,1147650.941392668,1694630.4880400077
20160909,1614364.8979435805,1145209.1308790667,1691024.891256944
20160912,1576501.3289086565,1118349.215229451,1651363.3266432416
20160913,1581664.5428679644,1122011.9309998532,1656771.7218178373
20160914,1559290.6157109637,1106140.162661444,1633335.3427279224
20160919,1569617.0436295792,1113465.5942022481,1644152.133077114
20160920,1562732.7583505022,1108581.9731750453,1636940.9395109862
20160921,1562732.7583505022,1108581.9731750453,1636940.9395109862
20160922,1576501.3289086565,1118349.215229451,1651363.3266432416
20160923,1574780.2575888874,1117128.3099726504,1649560.5282517096
