trial,total,ann,sharpe,mdd,n_A,n_G,has_cashbond,eq_total
64,0.3315799928808174,0.04175361104382502,0.24916267355797303,-0.19324569015710819,3,7,True,0.7369327775783794
65,-0.13885848494792852,-0.021128150437778936,-0.08128244192817742,-0.4123139770610022,3,7,True,0.7154302396548746
66,0.4198749475547814,0.05135137558809322,0.27405900526109084,-0.24200525248801974,6,4,True,0.9018822171675336
67,-0.18408802394317714,-0.02864305530520661,-0.1267679317875801,-0.3637562628985378,4,6,True,1.0677482419927378
68,0.3249145065546315,0.04100712328280065,0.2177524425118825,-0.329857302454442,6,4,True,0.7994146978225047
69,-0.3309911056754863,-0.05579969355852954,-0.20190608217754066,-0.5103119050393763,3,7,True,0.8287839147477969
70,-0.4619370704461222,-0.08472554562881485,-0.34178680119648247,-0.5118848685764666,3,7,True,0.5951114173355947
71,0.012299389651695414,0.0017476927956570076,0.06759285398099986,-0.361514492613366,4,6,True,0.7035076288954292
72,-0.2599305252299313,-0.04208611693136588,-0.10478946405150645,-0.4798957561819688,4,6,True,0.7819495897461832
73,-0.37044679338502595,-0.06396269919692277,-0.2514788485011447,-0.4560959036895771,4,6,True,1.001915227000258
74,-0.07173554870919163,-0.010576717516324385,0.007431868133821469,-0.510747560445307,4,6,True,0.6314664223912874
75,-0.5456681107468997,-0.10657499592329922,-0.47612583672329417,-0.5750266836827467,2,8,True,0.6025503421772165
76,0.010235463017743252,0.0014556927421554011,-0.0004131118845650917,-0.3897810815624673,4,6,True,0.39961091391970993
77,0.018089934203386893,0.0025642113201278516,0.025718176289440797,-0.37617491474236536,4,6,True,0.7772123594885996
78,-0.3002163905161903,-0.04971443563316369,-0.2421463680238524,-0.495412040842972,5,5,True,0.8215114992928334
79,-0.3454535838461421,-0.058742717662070065,-0.2717793688909046,-0.41675701538355453,3,7,True,0.6962028585422932
80,1.2396613298262489,0.12207312114516289,0.6111514109308755,-0.24036552637631628,7,3,False,1.115633764999227
81,0.8806676253009595,0.09441894950663987,0.4707865023686427,-0.33899559226526804,3,7,True,0.9951523126176869
82,-0.5264064392912164,-0.10126028778753693,-0.4027371128270921,-0.6121800363527876,4,6,True,0.7910117310706735
83,-0.26888394368814883,-0.04375016270083498,-0.1931084389467848,-0.39352594387934825,3,7,True,0.7288733663323372
84,-0.020656017634818946,-0.002977030759926169,0.03666473539342713,-0.38708703753756535,3,7,True,0.6383872417224095
85,0.04229117065327581,0.005934294129630979,0.042215069584317116,-0.3584628668930105,5,5,True,1.1134282574958831
86,0.7340087766734478,0.08179967238493635,0.4216710496944053,-0.2717949671361507,5,5,True,0.8458709642711946
87,0.15972557160605239,0.02139259725447018,0.12062901907133551,-0.29148189812729,4,6,True,0.9864611443705249
88,0.14155081445363193,0.019090619065148307,0.13636287381997142,-0.3615075888829282,3,7,True,0.5700978392892238
89,0.15106130334038714,0.02029908501539701,0.11353512408064731,-0.2788476893712161,3,7,True,0.4571919482620739
90,-0.05490501682691129,-0.008033886461601636,-0.03549253066724658,-0.3210051269606933,5,5,True,1.0328463785363176
91,0.22240448968937465,0.029101138028399642,0.15471868248756435,-0.29379005200539854,5,5,True,0.7545036892228287
92,-0.32573730521664557,-0.05474407200854059,-0.2946715784068756,-0.47434564021796666,5,5,True,0.5062306791923463
93,-0.24326282788650733,-0.0390337634360155,-0.24769316985315276,-0.3711571167256792,4,6,True,0.51158274666422
94,-0.16181914136753273,-0.024899634671843973,-0.11590813718842684,-0.3364931386401358,4,6,True,0.7210787524842148
95,0.0379709762623297,0.005337648964589103,0.05235636527799423,-0.28623479724131096,5,5,False,0.9239990885358182
96,-0.34848615480823397,-0.059366886875066416,-0.40876032045126337,-0.3739799798870618,5,5,True,0.7165622674470882
97,-0.43454520026169374,-0.07821055901311391,-0.33251112223403756,-0.5993695066339547,5,5,True,0.7503451125086589
98,0.09274103302983217,0.01274924129524968,0.08281982499958648,-0.33302483655841,3,7,True,0.7871876282440196
99,-0.02642695130136885,-0.0038183772813756844,0.0014317646037465494,-0.3043407559946322,4,6,True,0.512793247148785
100,-0.30666316273675864,-0.050969925861866106,-0.2993352240958118,-0.34897997411614406,4,6,True,0.8486523599634859
101,0.3634127480117,0.04527508379456169,0.23885957416080744,-0.35740085549390177,5,5,False,0.9741933800615472
102,0.08081213312592661,0.011162575422132504,0.059589011514201214,-0.3567435229982983,3,7,True,1.0863459017285226
103,-0.3028569731328479,-0.0502274777781927,-0.14270528152462963,-0.47993946134993803,5,5,True,0.9639491733159209
104,-0.27593469078586785,-0.0450729247579893,-0.17991964641256372,-0.546272195367343,6,4,True,0.9591531029770091
105,0.21991214848031326,0.028801159668363496,0.16475526417415023,-0.3184512029629674,5,5,False,1.3325673025199882
106,-0.42269285536380685,-0.07547510823388504,-0.3284265788879101,-0.45999799355265486,2,8,True,0.7089008448373311
107,-0.2568272372223648,-0.04151337841145408,-0.15295333863553118,-0.43813771680432695,3,7,True,0.5064649647879345
108,0.036302586401437464,0.005106664300600139,0.07181102288849245,-0.4245605614748835,4,6,False,1.1371288185119104
109,0.04192932719547349,0.005884402762702079,0.048717693341772415,-0.3004914902048965,4,6,True,0.959293054240018
110,-0.24374360263856676,-0.03912099677451475,-0.21994224221522812,-0.38409319952955223,5,5,True,0.8610301845600701
111,-0.3870636315930548,-0.0675324239952595,-0.26517244871255263,-0.5998201873957214,5,5,True,0.5553146731029268
112,-0.05902972092793335,-0.008653452268321371,0.03134470719979514,-0.5315196596810066,5,5,False,0.8243945475517327
113,-0.19805484580511923,-0.03103582612093525,-0.13654452658778418,-0.38425193075842645,5,5,True,0.6605489879617423
114,-0.21743560588695965,-0.0344159779829013,-0.09342866604438516,-0.41995567067092704,6,4,True,0.789231289113606
